school_name,subject_desc
CATHOLIC JUNIOR COLLEGE,H1 CHINESE LANGUAGE
CATHOLIC JUNIOR COLLEGE,H1 ECONOMICS
CATHOLIC JUNIOR COLLEGE,H1 LITERATURE IN ENGLISH
CATHOLIC JUNIOR COLLEGE,H1 GEOGRAPHY
CATHOLIC JUNIOR COLLEGE,H1 GENERAL PAPER
CATHOLIC JUNIOR COLLEGE,H1 HISTORY
CATHOLIC JUNIOR COLLEGE,H1 MATHEMATICS
CATHOLIC JUNIOR COLLEGE,H1 MALAY LANGUAGE
CATHOLIC JUNIOR COLLEGE,H1 PHYSICS
CATHOLIC JUNIOR COLLEGE,H1 PROJECT WORK
CATHOLIC JUNIOR COLLEGE,H1 TAMIL LANGUAGE
CATHOLIC JUNIOR COLLEGE,H2 BIOLOGY
CATHOLIC JUNIOR COLLEGE,H2 CHEMISTRY
CATHOLIC JUNIOR COLLEGE,H2 CHINESE LANGUAGE & LITERATURE
CATHOLIC JUNIOR COLLEGE,H2 COMPUTING
CATHOLIC JUNIOR COLLEGE,H2 ECONOMICS
CATHOLIC JUNIOR COLLEGE,H2 LITERATURE IN ENGLISH
CATHOLIC JUNIOR COLLEGE,H2 GEOGRAPHY
CATHOLIC JUNIOR COLLEGE,H2 HISTORY
CATHOLIC JUNIOR COLLEGE,H2 KNOWLEDGE & INQUIRY
CATHOLIC JUNIOR COLLEGE,H2 MATHEMATICS
CATHOLIC JUNIOR COLLEGE,H2 MALAY LANGUAGE & LITERATURE
CATHOLIC JUNIOR COLLEGE,H2 PHYSICS
CATHOLIC JUNIOR COLLEGE,H2 TAMIL LANGUAGE & LITERATURE
CATHOLIC JUNIOR COLLEGE,H3 PROTEOMICS
CATHOLIC JUNIOR COLLEGE,H3 PHARMACEUTICAL CHEMISTRY
CATHOLIC JUNIOR COLLEGE,H3 ECONOMICS
CATHOLIC JUNIOR COLLEGE,H3 LITERATURE IN ENGLISH
CATHOLIC JUNIOR COLLEGE,H3 GEOGRAPHY
CATHOLIC JUNIOR COLLEGE,H3 HISTORY
CATHOLIC JUNIOR COLLEGE,H3 MATHEMATICS
CATHOLIC JUNIOR COLLEGE,H3 ESSENTIALS OF MODERN PHYSICS
ANGLO-CHINESE JUNIOR COLLEGE,H1 BENGALI
ANGLO-CHINESE JUNIOR COLLEGE,H1 HINDI
ANGLO-CHINESE JUNIOR COLLEGE,H1 PANJABI
ANGLO-CHINESE JUNIOR COLLEGE,H1 ART
ANGLO-CHINESE JUNIOR COLLEGE,H1 BIOLOGY
ANGLO-CHINESE JUNIOR COLLEGE,H1 CHEMISTRY
ANGLO-CHINESE JUNIOR COLLEGE,H1 CHINESE LANGUAGE
ANGLO-CHINESE JUNIOR COLLEGE,H1 ECONOMICS
ANGLO-CHINESE JUNIOR COLLEGE,H1 LITERATURE IN ENGLISH
ANGLO-CHINESE JUNIOR COLLEGE,H1 FRENCH LANGUAGE
ANGLO-CHINESE JUNIOR COLLEGE,H1 GEOGRAPHY
